관광지명,관광지분류,주소,운영상세사항,관광지설명,경도,위도,분류,반려견제한사항
러브랜드미술관,관광지,제주시 연동 1100로 2894-72,화~일 09:00~24:00,미술관 / 반려동물추가요금 없음,126.4896756,33.4516563,반려견 동반 관광지,해당없음
러블리 독스,음식점/카페,제주시 연북로 668,"11:00~22:00
매주 화요일 휴무","대표메뉴: 패션후르츠, 딸기주스. 허브티 / 입장 후 10분가량 반려견 안아야함
수컷 매너 벨트 착용
5차 접종 필수
야외 운동장 이용시 목줄 착용",126.5487854,33.4923652,반려견 동반 관광지,"소형견, 중형견 / 목줄2M이내"
럽 스테이,숙박시설,제주 서귀포시 월라봉로 89 1층,16:00~11:00,,126.6002498,33.2671616,반려견 동반 관광지,반려동물 동반 가능 / 무료
레프트핸더 게스트하우스,숙박시설,제주 제주시 구좌읍 상도북2길 17-12,10:00~12:00,,126.8649779,33.5201349,반려견 동반 관광지,반려동물 동반 가능 / 무료
로빙화,음식점/카페,제주 서귀포시 남원읍 남태해안로 13,10:00~22:00,"대표메뉴: 커피, 피자, 한라봉에이드 / 반려견 입장 시 사전에 카운터 안내 필수
실내 케이지 필수, 실외 보호자 및 반려견 동반 필수",126.7092635,33.2751304,반려견 동반 관광지,제한없음 / 목줄2M이내
마녀의언덕,숙박시설,제주 서귀포시 예래해안로 207,15:00~10:00,,126.3844465,33.2342155,반려견 동반 관광지,반려동물 동반 가능 / 무료
마노르블랑,음식점/카페,제주 서귀포시 안덕면 일주서로2100번길 46 1층,09:00~19:00,"대표메뉴: 아메리카노, 카페라떼, 한라봉감귤착즙주스 / 10kg 이내 입장 가능
실내 케이지 필수",126.2949815,33.254821,반려견 동반 관광지,소형견 / 목줄2M이내
마레카펜션,숙박시설,제주시 한림읍 금능1길 26,매일 15:00~11:00,"애견 동반 펜션, 사전문의 필수 / 반려동물추가요금 없음",126.2248502,33.3881236,반려견 동반 관광지,제한사항 없음
만복흑돼지,음식점/카페,제주 서귀포시 안덕면 산방로 53,11:00~22:00,"대표메뉴: 만복흑돼지스페셜 / 야외테라스석 이용 가능, 케이지 필수",126.3268725,33.2435789,반려견 동반 관광지,제한없음 / 목줄2M이내
말이,음식점/카페,구좌읍 세화1길 40,"12:00~23:00
매주 일요일 휴무","대표메뉴: 김말이모듬세트, 제주말고기튀김 등 / 실내: 가방, 케이지 필수
실외: 목줄착용",126.8556027,33.5266394,반려견 동반 관광지,제한없음 / 목줄2M이내
맘앤도그,숙박시설,제주시 구좌읍 송당4길 5,매일 16:00~11:00,애견 동반 펜션 / 반려동물추가요금 없음,126.784483,33.4708557,반려견 동반 관광지,제한사항 없음
맘앤도그 단비,숙박시설,제주시 구좌읍 송당2길 36,매일 16:00~11:00,애견 동반 펜션 / 반려동물추가요금 없음,126.78402,33.4693455,반려견 동반 관광지,제한사항 없음
맘앤도그 백호,숙박시설,제주시 구좌읍 송당2길 34,매일 16:00~11:00,애견 동반 펜션 / 반려동물추가요금 없음,126.7839337,33.4693626,반려견 동반 관광지,제한사항 없음
멍더랜드,기타,제주시 월광로 147,"08:00~19:00
매주 일요일 휴무","유치원 프로그램은 회원권에 한하여 운영, 호텔 이용 예약 시 예약금 받음 / 15kg미만 이용 가능
첫 이용 시 5차접종내역, 1년 이내 정기 접종 내역 필수 확인",126.4734247,33.4921358,반려견 동반 관광지,제한없음 / 목줄2M이내
멍멍플레이스,숙박시설,애월읍 소길남길 244-5,15:00~11:00,"반려견이 마음껏 뛰놀수 있는 반려견 동반 펜션 / 생리중인 반려견 기저귀 필수, 마킹이 있는 반려견 매너벨트 필수, 10kg까지 이용가능, 사전공지 필수 확인",126.3792935,33.4159584,반려견 동반 관광지,"소형견, 중형견 / 목줄2M이내"
멍포레스트,음식점/카페,제주시 애월읍 평화로 2157,화~일 11:00~19:00,"애견카페 / 반려동물추가요금 9,000원",126.3923798,33.4122971,반려견 동반 관광지,"생리, 발정기인 경우 불가, 입질 심한 경우 입마개 필수"
메리앤폴,음식점/카페,제주 제주시 한림읍 일주서로 5872 메리앤폴,"점심 11:30~16:00
저녁 17:00~20:00
매주 수요일 휴무","대표메뉴: 함박스테이크. 수제흑돼지돈가스 / 7kg 미만만 가능
이동가방, 케이지에 들어가 있을 경우에만 가능",126.293515,33.4434588,반려견 동반 관광지,소형견 / 목줄2M이내
메이즈랜드,관광지,제주시 구좌읍 비자림로 2134-47,매일 09:00~18:00,관광지 / 반려동물추가요금 없음,126.8009119,33.4887233,반려견 동반 관광지,"케이지, 안기"
명월국민학교,음식점/카페,제주 제주시 한림읍 명월로 48,10:30~19:00,"대표메뉴: 너에게사과, 에이드 3종 / 별도 야외 운동장 이용",126.2648131,33.3888873,반려견 동반 관광지,제한없음 / 목줄2M이내
모두올레 애견펜션,숙박시설,서귀포시 남원읍 남태해안로 279-4,,"애견 동반 펜션, 미용, 호텔, 애견 동반 필수 / 반려동물추가요금 없음",126.7323823,33.2819502,반려견 동반 관광지,제한사항 없음
무거버거,음식점/카페,제주 제주시 조천읍 조함해안로 356 무거버거,10:00~20:00,"대표메뉴: 당근버거, 시금치버거, 마늘버거 / 마킹하는 반려견 기저귀 착용
대형견 야외 테이블석 동반 가능
보호자 케어 중요",126.6550194,33.5489212,반려견 동반 관광지,제한없음 / 목줄2M이내
무병장수테마파크,관광지,제주 제주시 애월읍 어음13길 196,09:00~18:00,"2021 제주 웰니스 관광지 힐링, 명상 분야 선정 / 관광지 내 카페 동반 입장 불가 / 유료",126.3610158,33.3954513,반려견 동반 관광지,제한없음 / 목줄2M이내
문쏘,음식점/카페,제주 제주시 한림읍 한림상로 15-5 문쏘 제주협재점,10:30~20:30,"대표메뉴: 황게카레, 에그인헬 / 실내: 가방, 케이지 필수
대형견은 사전 전화 문의",126.256612,33.405631,반려견 동반 관광지,제한없음 / 목줄2M이내
미스틱3도,음식점/카페,제주 제주시 1100로 2894-49 1층,08:30~19:00,"대표메뉴: 녹차  새순 한라봉 아이스티, 한라봉 에이드. 마농크림 흑돼지 잠봉 샌드위치 / 목줄, 가슴줄 착용 시 실내/실외 입장 가능
대형견은 실외만 가능",126.4875109,33.449962,반려견 동반 관광지,제한없음 / 목줄2M이내
미악산,관광지,서귀포시 동홍동 인정오름로 387-63,매일 00:00~24:00,관광지 / 반려동물추가요금 없음,126.5542859,33.3007702,반려견 동반 관광지,목줄
바다다,음식점/카페,제주 서귀포시 대포로 148-15,10:30~19:00,"대표메뉴: 커피, 블루레몬에이드 / 실내 입장 불가, 실외 목줄, 가슴줄, 케이지, 가방 이용 시 화장실 가능",126.4367202,33.2369211,반려견 동반 관광지,제한없음 / 목줄2M이내
바다를본돼지협재판포점,음식점/카페,한경면 판포1길 16 1층,12:00~22:00,"대표메뉴: 바다본 흑돼지 2인+멜조림 / 머리가 들어가는 유모차, 가방에 들어가 있을 경우 동반 입장 가능",126.1978807,33.3654942,반려견 동반 관광지,"소형견, 중형견 / 목줄2M이내"
바다의 향기 펜션,숙박시설,제주 서귀포시 대정읍 송악관광로177번길 254-6,15:00~11:00,,126.2922198,33.2130858,반려견 동반 관광지,반려동물 동반 가능 / 무료
바람아래,숙박시설,제주 서귀포시 표선면 성읍민속로 89,15:00~11:00,,126.7991685,33.3849124,반려견 동반 관광지,반려동물 동반 가능 / 무료
바산 올레 펜션,숙박시설,제주 서귀포시 안덕면 대평로 29 바산올레펜션,15:00~11:00,,126.3638791,33.2365972,반려견 동반 관광지,반려동물 동반 가능 / 무료
바산올레펜션,숙박시설,서귀포시 안덕면 대평로 29,매일 15:00~11:00,"애견 동반 펜션 / 반려동물추가요금 20,000원",126.3638791,33.2365972,반려견 동반 관광지,"고양이 불가, 객실당 최대 2마리, 애견용품 개별준비"
박물관은살아있다,관광지,서귀포시 색달동 중문관광로 42,화~일 10:00~19:00,미술관 / 반려동물추가요금 없음,126.4092743,33.2548031,반려견 동반 관광지,해당없음
박수기정,자연,서귀포시 안덕면 감산리 1008,,박수기정은 바가지로 마실 수 있는 깨끗한 샘물이 솟아나는 절벽이라는 의미를 가지고 있다. 해 질 무렵 바다에 비친 노을은 절벽과 어우러져 아름다운 풍경이 펼쳐진다. / ,126.3592223,33.2366351,반려견 동반 관광지,제한없음 / 목줄2M이내
방림원,관광지,제주 제주시 한경면 용금로 864,"3월~10월 09:00~18:00
11월~2월 09:00~17:00","계절에 따라 야생화, 자생식물을 전시하는 야생화 전시관 / 관광지 내 카페 동반 입장 불가
프로그램 체험 불가 / 유료",126.2685032,33.3371723,반려견 동반 관광지,소형견 / 목줄2M이내
방림원 식물원,관광지,제주시 한경면 용금로 864,"매일 3월~10월 09:00~18:00, 11~2월 08:30~17:30",박물관 / 반려동물추가요금 없음,126.2685032,33.3371723,반려견 동반 관광지,"목줄, 배변봉투"
백수당,음식점/카페,구좌읍 월정1길 63 1층,11:00~18:00,"대표메뉴: 흑임자크림라떼, 월당라떼, 곶감말이, 곶감단지 / 실내 입장 시 가방 필수",126.793525,33.5565514,반려견 동반 관광지,제한없음 / 목줄2M이내
백약이오름,자연,서귀포시 표선면 성읍리 산1,,백약이 오름 정상에서는 산정부를 따라 주변의 다양한 오름들과 제주의 천연 환경을 두 눈으로 가득 담을 수 있다. / ,126.7902,33.4372274,반려견 동반 관광지,제한없음 / 목줄2M이내
법환포구,관광지,서귀포시 법환동 막숙포로 66,매일 00:00~24:00,관광지 / 반려동물추가요금 없음,126.5146959,33.2357038,반려견 동반 관광지,"목줄, 배변봉투"
벙커하우스,음식점/카페,제주 서귀포시 막숙포로41번길 66,09:00~21:00,"대표메뉴: 아메리카노, 아포카토, 아인슈페너 / 실내 입장 불가",126.5192185,33.2404461,반려견 동반 관광지,제한없음 / 목줄2M이내
보롬왓,관광지,제주특별자치도 서귀포시 표선면 번영로 2350-104,09:00~18:00,"아름다운 배경의 꽃밭으로 SNS에서 유명한 관광지 / 5kg미만 입장 가능
카페 반려동물 입장 불가 / 유료",126.7524924,33.413493,반려견 동반 관광지,소형견 / 목줄2M이내
본카페,음식점/카페,제주 제주시 애월읍 애월해안로 179 본카페,09:00~21:00,"대표메뉴: 더블망고스무디, 우도땅콩라떼 / 실내 입장 시 가방 필수",126.3320636,33.4678021,반려견 동반 관광지,제한없음 / 목줄2M이내
볼스카페,음식점/카페,제주 서귀포시 일주서로 626,10:00~19:00,"대표메뉴: 에그타르트+아메리카노, 어니언크림치즈&바질페스토+아메리카노 / 대형견 입마개 필수",126.4424902,33.2533663,반려견 동반 관광지,제한없음 / 목줄2M이내
봄날,음식점/카페,제주시 애월읍 애월로1길 25,매일 09:00~21:30,애견카페 / 반려동물추가요금 없음,126.3095883,33.462485,반려견 동반 관광지,제한사항 없음
봉구의간식,기타,제주 제주시 애월읍 애월로 110 봉구의간식 제주 애월점,"12:00~22:00
매주 화요일 휴무",첨가물을 넣지 않은 천연 수제 간식 전문점 / ,126.319111,33.4645348,반려견 동반 관광지,제한없음 / 목줄2M이내
뵤뵤,음식점/카페,제주 제주시 한림읍 명재로 155,10:00~18:30,"대표메뉴: 말차먹은돌하르방, 돌하르방무스케이크 / 실내 입장 시 가방, 케이지 필수
실외 입장 가능",126.2630748,33.3925322,반려견 동반 관광지,제한없음 / 목줄2M이내
부엔까미노 풀빌라,숙박시설,제주 서귀포시 안덕면 소기왓로 71 부엔까미노독채풀빌라,15:00~11:00,,126.3687434,33.2409887,반려견 동반 관광지,반려동물 동반 가능 / 무료
브레이브독스 애견카페,음식점/카페,제주시 한림읍 한수풀로 138,금~수 11:00~20:00,"애견카페, 호텔, 유치원 / 반려동물추가요금 없음",126.2766434,33.4216517,반려견 동반 관광지,"공격성, 입질 있는 경우 불가"
블랙이쉬레드,음식점/카페,애월읍 하소로 769-10,"10:00~18:00
매주 일요일 휴무",대표메뉴: 우바밀크티 / 반려견을 안고 있거나 캐리어 지참 시 동반 가능,126.3985894,33.4160287,반려견 동반 관광지,제한없음 / 목줄2M이내
블리스풀,음식점/카페,애월읍 산록서로 383 1동,"11:00~18:00
매주 월요일 휴무","대표메뉴: 불고기 파니니, 플레인 크로플, 플레인 베이글+수제크림치즈 / 동물보호법상 맹견으로 분류되는 견종, 생후 6개월 이하 또는 5차 예방 접종이 끝나지 않은 경우 입장 불가",126.4072209,33.4049064,반려견 동반 관광지,제한없음 / 목줄2M이내
비밀의숲,관광지,제주시 구좌읍  ,매일 09:00~17:00,관광지 / 반려동물추가요금 없음,126.8520615,33.5225223,반려견 동반 관광지,"목줄, 배변봉투"
비양도,관광지,제주시 한림읍 한림해안로 146,매일 00:00~24:00,관광지 / 반려동물추가요금 없음,126.2621357,33.415409,반려견 동반 관광지,케이지 이용
비체올린,관광지,제주 제주시 한경면 판조로 253-6 비체올린,08:45~18:00,"카약, 수영, 조각 공원 등을 갖춘 가족 놀이공원 / 매점 동반 입장 불가
안고 탈 수 있는 반려동물 카약 탑승 가능 / 유료",126.2185004,33.3495733,반려견 동반 관광지,제한없음 / 목줄2M이내
빌라 오무아무아,숙박시설,제주 서귀포시 속골로 17,15:00~11:00,,126.5278516,33.2419641,반려견 동반 관광지,반려동물 동반 가능 / 무료
빌레 리조트,숙박시설,제주 제주시 애월읍 고내로13길 79,16:00~11:00,,126.3470887,33.4707531,반려견 동반 관광지,"반려동물 동반 가능 / 10키로 미만, 1박 15000원, 2마리 제한"
삐삐그루밍,기타,서귀포시 대정읍 중산간서로 2269 B동 2층,"평일 09:00~19:00
주말 09:00~18:00","제주영어교육도시 내 위치한 반려견 놀이터 / 10kg 미안 이용 가능, 첫 이용 시 5차접종내역, 1년 이내 정기접종 내역 필수 확인",126.2861287,33.2806461,반려견 동반 관광지,제한없음 / 목줄2M이내
산방산 둘레길,자연,서귀포시 안덕면 사계리 112-3,,산방산둘레길은 용머리 해안 매표소에서 산방연대까지 무리하지 않고 가볍게 산책할 수 있는 산책 코스이다. / ,126.3146311,33.2334783,반려견 동반 관광지,제한없음 / 목줄2M이내
산방산유람선,관광지,서귀포시 안덕면 화순해안로106번길 16,매일 11:00~15:20,관광지 / 반려동물추가요금 없음,126.3352931,33.2368851,반려견 동반 관광지,케이지 이용
삼양검은모래해변,자연,제주 제주시 삼양동,개장기간 매년 7월~8월,삼양해수욕장은 철분이 함유된 검은 모래가 유명한 해수욕장이다.  / ,126.5856006,33.5218848,반려견 동반 관광지,제한없음 / 목줄2M이내
새물국수,음식점/카페,제주 서귀포시 안덕면 화순해안로 63,10:00~19:00,"대표메뉴: 고기국수, 비빔국수, 멸고국수 / 실내 소형견만 가능, 대형견 털이 많이 날리는 견종 출입불가",126.3335907,33.2412259,반려견 동반 관광지,소형견 / 목줄2M이내
새별오름,자연,제주시 애월읍 봉성리 산59-8,,제주의 대표 오름 중 하나로 애월읍에 위치한 오름이다. / ,126.3570413,33.3673333,반려견 동반 관광지,제한없음 / 목줄2M이내
새연교,관광지,서홍동 707-4,,새로운 인연을 만들어가는 다리'라는 뜻으로 서귀포 관광 미향의 랜드마크 /  / 무료,126.558884,33.2385318,반려견 동반 관광지,제한없음 / 목줄2M이내
샌디애견하우스,숙박시설,제주시 애월읍 예원로 121,,애견 동반 펜션 / 반려동물추가요금 없음,126.3993944,33.4594309,반려견 동반 관광지,대형견 외부 공간만 가능
생각하는 정원,관광지,제주시 한경면 녹차분재로 675,매일 11~3월 08:30~18:00 4~10월 08:30~18:30,박물관 / 반려동물추가요금 없음,126.2554704,33.3255403,반려견 동반 관광지,야외만 반려동물 동반 가능
생각하는정원,관광지,제주 제주시 한경면 녹차분재로 675 생각하는정원,09:00~18:00,"나무를 통해 배운 지식과 지혜를 공유하고 교류하는 교육문화 정원 / 5kg이상 입장 불가
음식점, 카페 출입 불가 / 유료",126.2554704,33.3255403,반려견 동반 관광지,소형견 / 목줄2M이내
서귀포 그림그리는펜션,숙박시설,제주 서귀포시 성산읍 금백조로131번길 181,15:00~11:00,,126.8438338,33.4312653,반려견 동반 관광지,"반려동물 동반 가능 / 대형견 동반 가능, 동반 비용 1박 2만원"
서귀포 꾸꾸풀빌라,숙박시설,제주 서귀포시 남원읍 신흥앞동산로40번길 10-1,15:00~11:00,,126.7704335,33.3059282,반려견 동반 관광지,반려동물 동반 가능 / 무료
서귀포 늘바다 애견동반펜션,숙박시설,제주 서귀포시 안덕면 대평로 38,15:00~11:00,,126.363589,33.2371975,반려견 동반 관광지,반려동물 동반 가능 / 무료
서귀포 다와 풀빌라 애견펜션,숙박시설,제주 서귀포시 안덕면 소기왓로 81-4,16:00~11:00,,126.3680951,33.2423867,반려견 동반 관광지,반려동물 동반 가능 / 무료
서귀포 라임오렌지빌펜션,숙박시설,제주 서귀포시 칠십리로 332 라임오렌지민박,15:00~11:00,,126.587236,33.2461872,반려견 동반 관광지,"반려동물 동반 가능 / 5키로 미만, 1박 1만원, 3마리 제한"
서귀포 블란디야펜션,숙박시설,제주 서귀포시 법환로 15 203,15:00~11:00,,126.5136075,33.2366195,반려견 동반 관광지,반려동물 동반 가능 / 무료
서귀포 성산꽃담펜션,숙박시설,제주 서귀포시 성산읍 해맞이해안로 2630,15:00~11:00,,126.909529,33.476554,반려견 동반 관광지,반려동물 동반 가능 / 무료
서귀포 예이츠산장펜션,숙박시설,제주 서귀포시 남원읍 516로 918,15:00~11:00,,126.6011548,33.3254607,반려견 동반 관광지,"반려동물 동반 가능 / 5키로 미만, 1박 1만원, 3마리 제한"
서귀포 제주앓이 펜션,숙박시설,서귀포시 강정동 일주서로 166-56,매일 16:00~11:00,"애견 동반 펜션 / 반려동물추가요금 30,000원",126.4915037,33.2548812,반려견 동반 관광지,"객실당 최대 3마리, 목줄, 애견용품 개별준비"
서귀포 중문씨에나펜션,숙박시설,제주 서귀포시 예래로 267 씨에나펜션,15:00~11:00,,126.3856954,33.2421475,반려견 동반 관광지,반려동물 동반 가능 / 무료
서귀포 중문행복스케치펜션,숙박시설,제주 서귀포시 예래로68번길 44-31,15:00~11:00,,126.4014112,33.2587864,반려견 동반 관광지,반려동물 동반 가능 / 무료
서귀포 청 리조트,숙박시설,서귀포시 강정동 중산간서로157번길 68,매일 16:00~11:00,"애견 동반 펜션 / 반려동물추가요금 5,000원",126.4970265,33.2557234,반려견 동반 관광지,객실당 최대 2마리
서귀포 청리조트,숙박시설,제주 서귀포시 중산간서로157번길 68,16:00~11:00,,126.4970265,33.2557234,반려견 동반 관광지,반려동물 동반 가능 / 무료
서귀포 캠파제주,숙박시설,서귀포시 상효동 516로 574-23,매일 15:00~11:00,"애견 동반 펜션 / 반려동물추가요금 20,000원",126.6007602,33.2983991,반려견 동반 관광지,"객실당 최대 1마리, 대형견 불가, 애견용품 개별준비"
서귀포돈사촌,음식점/카페,제주 서귀포시 동홍중앙로52번길 4,16:00~23:00,"대표메뉴: 흑돼지근고기, 근고기 / kg제한없음, 사전 문의 후 방문 권장",126.5725499,33.2552159,반려견 동반 관광지,제한없음 / 목줄2M이내
서귀포시기당미술관,관광지,서귀포시 서홍동 남성중로153번길 15,화~일 09:00~18:00,미술관 / 반려동물추가요금 없음,126.5511943,33.2448529,반려견 동반 관광지,해당없음
서귀포예술의전당,관광지,서귀포시 서홍동 태평로 270,전시공연에 따라 변동,문예회관 / 반려동물추가요금 없음,126.5509148,33.246184,반려견 동반 관광지,해당없음
서귀포칠십리시공원,관광지,서귀포시 서홍동 현청로 41-19,매일 00:00~24:00,공원 / 반려동물추가요금 없음,126.5546294,33.2669101,반려견 동반 관광지,"목줄, 배변봉투"
서귀포해양도립공원,관광지,서귀포시 서홍동 남성로128번길 13,매일 00:00~24:00,공원 / 반려동물추가요금 없음,126.5558911,33.2417609,반려견 동반 관광지,제한사항 없음
서귀포흑돈,음식점/카페,제주 서귀포시 칠십리로 278,12:00~22:00,대표메뉴: A세트(2인) / 반려견은 가방 안에 들어가 있어야 함,126.5822086,33.2478701,반려견 동반 관광지,"소형견, 중형견 / 목줄2M이내"
서복전시관,관광지,서귀포시 서귀동 칠십리로 156-8,매일 09:00~18:00,박물관 / 반려동물추가요금 없음,126.5707985,33.2448092,반려견 동반 관광지,해당없음
서우봉,자연,제주시 조천읍 함덕리 169-1,,서우봉은 동쪽 바다를 바라보는 조망이 좋아 해마다 서우봉 일출제가 열린다.  / ,126.6775454,33.5453682,반려견 동반 관광지,제한없음 / 목줄2M이내
서홍정원,음식점/카페,제주 서귀포시 솜반천로55번길 12-8,11:00~22:00,"대표메뉴: 아몬드비엔나. 썸메스페셜, 믹스베리, 트로피칼 / 1층 실내, 야외 테라스만 입장 가능",126.5544146,33.2525901,반려견 동반 관광지,제한없음 / 목줄2M이내
석부작 박물관,관광지,서귀포시 호근동 일주동로 8941,매일 08:30~17:00,박물관 / 반려동물추가요금 없음,126.5366475,33.2504709,반려견 동반 관광지,해당없음
선양 빌리지 카라반,숙박시설,제주 제주시 조천읍 와흘로 350,15:00~11:00,,126.6436791,33.474561,반려견 동반 관광지,반려동물 동반 가능 / 무료
선양 빌리지 펜션,숙박시설,제주 제주시 조천읍 와흘로 350,15:00~11:00,,126.6436791,33.474561,반려견 동반 관광지,반려동물 동반 가능 / 무료
설문대여성문화센터 여성역사문화전시관,관광지,제주시 연동 선덕로8길 12,월~금 09:00~18:00,박물관 / 반려동물추가요금 없음,126.5003724,33.4843959,반려견 동반 관광지,해당없음
섭지코지,관광지,제주 서귀포시 성산읍 고성리,,성산일출봉을 배경으로하는 해안 풍경이 가득한 장소 / 대형견 입마개 필수 / 무료,126.9082782,33.4493139,반려견 동반 관광지,제한없음 / 목줄2M이내
성산연화,음식점/카페,서귀포시 성산읍 성산중앙로 22,18:00~01:00,"대표메뉴: 잔 와인, 칵테일, 싱글몰트 위스키 / 케이지 필수",126.9324536,33.4618587,반려견 동반 관광지,제한없음 / 목줄2M이내
성산일출봉 펜션,숙박시설,서귀포시 성산읍 일출로 271,매일 15:00~11:00,펜션 / 반려동물추가요금 없음,126.9340439,33.4620076,반려견 동반 관광지,해당없음
성산카페 어반정글,음식점/카페,서귀포시 성산읍 신고로22번길 39,목~월 10:00~14:00,"애견카페, 노키즈존 / 반려동물추가요금 없음",126.9211344,33.4368847,반려견 동반 관광지,제한사항 없음
성안미술관,관광지,제주시 아라일동 중앙로 470,화~일 10:00~19:00,미술관 / 반려동물추가요금 없음,126.5416138,33.4811195,반려견 동반 관광지,해당없음
성이시돌목장,관광지,제주 제주시 한림읍 산록남로 53,,"초원과 독특한 건물, 볼거리가 가득한 목장 / 카페 내부 출입 불가 / 무료",126.3216096,33.3458892,반려견 동반 관광지,제한없음 / 목줄2M이내
세계술박물관,관광지,서귀포시 표선면 한마음초등로 431,매일 09:00~18:00,박물관 / 반려동물추가요금 없음,126.8176542,33.3539296,반려견 동반 관광지,해당없음
세계오지민속박물관,관광지,서귀포시 성산읍 서성일로 474,화~일 09:00~18:00,박물관 / 반려동물추가요금 없음,126.8406427,33.4157006,반려견 동반 관광지,야외만 반려동물 동반 가능
세계자동차 피아노박물관,관광지,서귀포시 안덕면 중산간서로 1610,매일 09:00~18:00,"박물관, 우천 시 어린이 체험장 휴관 / 반려동물추가요금 없음",126.3496509,33.2829393,반려견 동반 관광지,야외만 반려동물 동반 가능
세계조가비박물관,관광지,서귀포시 서홍동 태평로 284,매일 09:30~18:00,박물관 / 반려동물추가요금 없음,126.5516449,33.2474548,반려견 동반 관광지,해당없음
소고배 제주민박,숙박시설,제주 제주시 신성마을길 14-11,16:00~10:00,,126.489756,33.4947612,반려견 동반 관광지,반려동물 동반 가능 / 무료
소노벨제주,숙박시설,제주시 조천읍 신북로 577,15:00~11:00,"펫 동반 투숙객은 스위트(취사) 2실 이용 가능 / 주 보호자(성인 기준) 1인당 2마리 가능
스위트 객실 기준 12kg 이하 반려견
기본 1마리, 추가 1마리까지가능",126.6716937,33.5407796,반려견 동반 관광지,소형견 / 1.5M이내
소노캄제주,숙박시설,서귀포시 표선면 일주동로 6347-17,15:00~11:00,"1.5m 목줄, 가슴줄, 객실 내 반려동물 방석, 식기, 배변판, 배변시트 등 / 주 보호자(성인 기준) 1인당 2마리 가능
스위트 객실 기준 12kg 이하 반려견
기본 1마리, 추가 1마리까지가능",126.7924037,33.3050887,반려견 동반 관광지,소형견 / 1.5M이내
소암기념관,관광지,서귀포시 서귀동 소암로 15,화~일 09:00~18:00,미술관 / 반려동물추가요금 없음,126.5674027,33.2451218,반려견 동반 관광지,해당없음
소인국 테마파크,관광지,서귀포시 안덕면 중산간서로 1878,매일 09:00~17:30,관광지 / 반려동물추가요금 없음,126.3225224,33.2904107,반려견 동반 관광지,케이지 이용
소인국테마파크,관광지,제주 서귀포시 안덕면 중산간서로 1878,09:00~17:30,"전세계 유명 건축물 미니어처와 제주도의 돌 문화, 민속신앙 등 다양한 볼거리와 체험 거리를 갖춘 미니어처 테마파크 / 반려견 전용 가방, 유모차 동반 시 입장가능 / 유료",126.3225224,33.2904107,반려견 동반 관광지,"소형견, 중형견 / 목줄2M이내"
솔펜션,숙박시설,제주시 구좌읍 해맞이해안로 2478,매일 16:00~11:00,"애견 동반 펜션 / 반려동물추가요금 10,000원",126.9018663,33.4861157,반려견 동반 관광지,객실당 최대 2마리
송당나무,음식점/카페,구좌읍 송당 5길 68-140,10:00~18:00,"대표메뉴: 아메리카노, 라떼, 홍차, 그린티 / 고양이 4마리와 강아지 1마리 상주
실내외 반려견 목줄, 가슴줄 필수",126.7890455,33.4769682,반려견 동반 관광지,제한없음 / 목줄2M이내
송악산,관광지,서귀포시 대정읍 송악관광로 421-1,매일 00:00~24:00,관광지 / 반려동물추가요금 없음,126.2909086,33.2077125,반려견 동반 관광지,제한사항 없음
송악산 둘레길,자연,서귀포시 대정읍 송악관광로 421-1,,"가파도와 형제섬, 마라도까지 훤히 보이는 송악산둘레길은 세계적으로 유래가 적은 이중 분화구가 존재하는 화산학적 가치가 높은 곳이다. / ",126.2909086,33.2077125,반려견 동반 관광지,제한없음 / 목줄2M이내
쇠소깍 성게돌 펜션,숙박시설,서귀포시 하효동 쇠소깍로 186,매일 15:00~11:00,펜션 / 반려동물추가요금 없음,126.6186786,33.250751,반려견 동반 관광지,해당없음
수목원테마파크,관광지,제주시 연동 은수길 69,매일 09:00~19:00,관광지 / 반려동물추가요금 없음,126.4878987,33.4703692,반려견 동반 관광지,목줄
수월봉,관광지,제주시   ,매일 00:00~24:00,관광지 / 반려동물추가요금 없음,126.5311784,33.4995596,반려견 동반 관광지,"목줄, 배변봉투"
숨비아일랜드,음식점/카페,서귀포시 성산읍 신천서로 91,화~일 10:00~19:00,"애견카페, 운동장 / 반려동물추가요금 없음",126.8554721,33.3391545,반려견 동반 관광지,제한사항 없음
숲속바다 함덕하우스,숙박시설,제주 제주시 조천읍 함와로 281,15:00~11:00,,126.6778229,33.5151139,반려견 동반 관광지,반려동물 동반 가능 / 무료
쉼멍스테이,숙박시설,제주 서귀포시 대정읍 신영로 16-14 쉼멍스테이,16:00~11:00,"슬라이드스텝, 하우스 및 방석, 식기, 배변패드, 타월, 반려견 욕조, 드라이기, 샴푸, 빛 등  / 7kg이하 가능, 2인 1견, 최대 3인 2견",126.2459758,33.2236397,반려견 동반 관광지,소형견 / 목줄2M이내
스누피가든,관광지,제주 제주시 구좌읍 금백조로 930,"10월~3월 09:00~18:00
4월~9월 09:00~19:00","피너츠' 만화를 테마로 구성된 자연형 체험 테마가든 / 매주 수요일 '반려동물데이'만 입장 가능
1인 1마리 입장 가능
실내는 케이지, 유모차 필수
가든 셔틀버스 이용 불가
공격성이 심한 경우 퇴장조치 / 유료",126.7783388,33.4441076,반려견 동반 관광지,제한없음 / 목줄2M이내
스마일러펫,음식점/카페,제주시 애월읍 상고길 47,13:00~18:00,"악어, 파충류, 열대어, 토끼, 돼지 등 색다른 경험 제공 / ",126.4158748,33.4699474,반려견 동반 관광지,제한없음 / 목줄2M이내
